n_components (%);n_components (dim);Execution time <class 'dmin.DMIN'>;Score <class 'dmin.DMIN'>;Execution time <class 'sklearn.svm.classes.SVC'>;Score <class 'sklearn.svm.classes.SVC'>;Execution time <class 'sklearn.neighbors.classification.KNeighborsClassifier'>;Score <class 'sklearn.neighbors.classification.KNeighborsClassifier'>
0.05;1;0.8748283386230469;0.226;0.1501021385192871;0.3194;3.5840320587158203;0.2518;0.09166693687438965
0.1;1;0.8263580799102783;0.226;0.15731048583984375;0.3194;3.5432777404785156;0.2518;0.0881357192993164
0.15;1;0.793126106262207;0.226;0.15531015396118164;0.3194;3.5176796913146973;0.2518;0.08838129043579102
0.2;1;0.8286211490631104;0.226;0.15816593170166016;0.3194;3.5372097492218018;0.2518;0.08843278884887695
0.25;1;0.793184757232666;0.226;0.15696239471435547;0.3194;3.5341176986694336;0.2518;0.08791446685791016
0.3;2;0.8027951717376709;0.4518;0.20723414421081543;0.5458;1.9536149501800537;0.5138;0.08713150024414062
0.35;2;0.7974884510040283;0.4518;0.21223711967468262;0.5458;1.951634168624878;0.5138;0.08833169937133789
0.4;2;0.7949957847595215;0.4518;0.2084367275238037;0.5458;1.9587979316711426;0.5138;0.08638906478881836
0.45;2;0.7940497398376465;0.4518;0.21123528480529785;0.5458;1.940936803817749;0.5138;0.08889365196228027
0.5;3;0.8079774379730225;0.563;0.2536947727203369;0.6352;1.6546192169189453;0.6158;0.09285354614257812
0.55;4;0.7945013046264648;0.6544;0.29600071907043457;0.7022;1.4897031784057617;0.6896;0.09769392013549805
0.6;5;0.8079104423522949;0.6864;0.34438204765319824;0.7318;1.4401743412017822;0.7218;0.10709953308105469
0.65;6;0.8282961845397949;0.7142;0.3824756145477295;0.7506;1.4252450466156006;0.7472;0.1160128116607666
0.7;9;0.8288857936859131;0.7628;0.4816901683807373;0.802;1.4825325012207031;0.7906;0.1477828025817871
0.75;14;0.8285095691680908;0.7812;0.6741950511932373;0.8244;1.6355235576629639;0.8128;0.20267581939697266
0.8;24;0.8296644687652588;0.805;1.0897712707519531;0.8434;2.017423152923584;0.8232;0.3240015506744385
0.85;42;0.8122813701629639;0.8184;1.9022624492645264;0.8538;2.8023252487182617;0.8364;0.568202018737793
0.9;82;0.7957875728607178;0.8256;4.3367674350738525;0.8618;4.663133144378662;0.837;1.3515894412994385
0.95;182;0.8114492893218994;0.8236;12.26966667175293;0.8628;9.650706052780151;0.8336;3.848285436630249
