n_components (%);n_components (dims);Execution time PCA;Execution time <class 'dmin.DMIN'>;Score <class 'dmin.DMIN'>;Execution time <class 'sklearn.svm.classes.SVC'>;Score <class 'sklearn.svm.classes.SVC'>;Execution time <class 'sklearn.neighbors.classification.KNeighborsClassifier'>;Score <class 'sklearn.neighbors.classification.KNeighborsClassifier'>
0.6;5;0.777855396270752;0.6864;0.33429431915283203;0.7318;1.4472343921661377;0.7218;0.10365533828735352
0.61;5;0.8091299533843994;0.6864;0.3428187370300293;0.7318;1.463541030883789;0.7218;0.10270380973815918
0.62;6;0.8360435962677002;0.7142;0.36789536476135254;0.7506;1.4194421768188477;0.7472;0.1208033561706543
0.63;6;0.8246026039123535;0.7142;0.37131524085998535;0.7506;1.4066650867462158;0.7472;0.11074018478393555
0.64;6;0.8043630123138428;0.7142;0.36942625045776367;0.7506;1.414454698562622;0.7472;0.10968232154846191
0.65;6;0.8257064819335938;0.7142;0.3765270709991455;0.7506;1.4383747577667236;0.7472;0.10974431037902832
0.66;7;0.8142197132110596;0.7304;0.4145848751068115;0.7656;1.4607081413269043;0.756;0.12098431587219238
0.67;7;0.8285045623779297;0.7304;0.423433780670166;0.7656;1.4708857536315918;0.756;0.12327909469604492
0.68;8;0.8028740882873535;0.7392;0.4636270999908447;0.7744;1.482222318649292;0.7734;0.13642406463623047
0.69;8;0.8133714199066162;0.7392;0.44481587409973145;0.7744;1.4894604682922363;0.7734;0.13071346282958984
0.7;9;0.7828497886657715;0.7628;0.48548269271850586;0.802;1.4632127285003662;0.7906;0.13852810859680176
0.71;10;0.798598051071167;0.766;0.5295193195343018;0.8052;1.493687391281128;0.7908;0.15237045288085938
0.72;10;0.8014156818389893;0.766;0.5266456604003906;0.8052;1.4956080913543701;0.7908;0.1544475555419922
0.73;11;0.7962188720703125;0.777;0.5776379108428955;0.8168;1.5173699855804443;0.8006;0.1607677936553955
0.74;12;0.7780599594116211;0.7798;0.6016621589660645;0.8164;1.5574276447296143;0.804;0.17450737953186035
